Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
images3_jpg.rf.3f34b4a2a24b7f6af75bdc118d010547.jpg_original,Comminuted fracture,34.02735139432485,42.02073368285202,21.32150883683953,58.072426193220764,0.589681823659122,0.5532393036988107,0.6467389730879787,0.5174409571905361,2.546660958904109,2.9556412544375976,1.9313883622798433,3.628463432661486,6.647556121617493,6.776500457016635,6.453445838001297,6.937466216912802,0.011017088240508068,0.010370707616271208,0.012099859141756,0.009986799027951321,0.10496231819328339,0.10183667127450312,0.10999935973339117,0.09993397334215888,0.9967212423554062,0.9959445112285253,0.9979442464748269,0.9943953553349141
images3_jpg.rf.3f34b4a2a24b7f6af75bdc118d010547.jpg_rot45,Comminuted fracture,40.983316261007836,58.69926968723312,49.871281035958916,81.57911466331703,0.6558816650028629,0.639858853061324,0.6279323160079922,0.5721899892966377,2.086996238992173,2.5511238085025716,2.531154445939335,3.4258983383182513,5.995913765704887,6.120436347614328,6.1247873287749135,6.335129652600935,0.035878133419719904,0.03579648229604556,0.03560968534669815,0.03470487600017599,0.1894152407271387,0.1891995832343337,0.18870528701310452,0.1862924475124421,0.9969197439991552,0.9955823137065228,0.9962487536277016,0.9938603846589164
images3_jpg.rf.3f34b4a2a24b7f6af75bdc118d010547.jpg_fliph,Comminuted fracture,34.02735139432485,58.072426193220764,21.32150883683953,42.02073368285202,0.589681823659122,0.5174409571905361,0.6467389730879787,0.5532393036988107,2.546660958904109,3.628463432661486,1.9313883622798433,2.9556412544375976,6.647556121617493,6.937466216912802,6.453445838001297,6.776500457016635,0.011017088240508068,0.009986799027951321,0.012099859141756,0.010370707616271208,0.10496231819328339,0.09993397334215888,0.10999935973339117,0.10183667127450312,0.9967212423554062,0.9943953553349141,0.9979442464748269,0.9959445112285253
images3_jpg.rf.3f34b4a2a24b7f6af75bdc118d010547.jpg_flipv,Comminuted fracture,34.02735139432485,58.072426193220764,21.32150883683953,42.02073368285202,0.589681823659122,0.5174409571905361,0.6467389730879787,0.5532393036988107,2.546660958904109,3.628463432661486,1.9313883622798433,2.9556412544375976,6.647556121617493,6.937466216912802,6.453445838001297,6.776500457016635,0.011017088240508068,0.009986799027951321,0.012099859141756,0.010370707616271208,0.10496231819328339,0.09993397334215888,0.10999935973339117,0.10183667127450312,0.9967212423554062,0.9943953553349141,0.9979442464748269,0.9959445112285253
images40_jpg.rf.cd2b16b8976cb628302f13fe3b7b2448.jpg_original,Comminuted fracture,23.427986637720153,39.94255536705206,15.363973061399218,27.199987745144977,0.567300525816178,0.5046662795020588,0.5930772013648935,0.5262088019621743,2.3406731592465753,3.1632384986270736,1.9572796905577299,2.7294166306042027,6.436505198022109,6.677883458610377,6.32452550024354,6.590664642236604,0.009502783562364324,0.008531138376322687,0.010168228816457608,0.009273538695483564,0.09748222177589268,0.09236416175293688,0.10083763591267701,0.09629921440740606,0.9977267600043725,0.9961214488313159,0.9985085813202161,0.9973587927665611
images40_jpg.rf.cd2b16b8976cb628302f13fe3b7b2448.jpg_rot45,Comminuted fracture,34.594804916829744,56.042283079491874,28.493873073630137,43.203445912048444,0.6008866390258125,0.5592415547229649,0.6108006347977926,0.5282090002705347,2.219048128669276,2.7073846990475676,2.007227709148728,3.0992107107432956,6.079534839695484,6.231444384121715,6.026246207713604,6.34919472862973,0.03112020932318895,0.030677756307204734,0.03133784010967265,0.030371767468916788,0.17640920985931816,0.17515066744721453,0.1770249702998779,0.17427497659996052,0.9974354390267572,0.9958433406088393,0.9978881324599065,0.9967955979072785
images40_jpg.rf.cd2b16b8976cb628302f13fe3b7b2448.jpg_fliph,Comminuted fracture,23.427986637720153,27.199987745144977,15.363973061399218,39.94255536705206,0.567300525816178,0.5262088019621743,0.5930772013648935,0.5046662795020588,2.3406731592465753,2.7294166306042027,1.9572796905577299,3.1632384986270736,6.436505198022109,6.590664642236604,6.32452550024354,6.677883458610377,0.009502783562364324,0.009273538695483564,0.010168228816457608,0.008531138376322687,0.09748222177589268,0.09629921440740606,0.10083763591267701,0.09236416175293688,0.9977267600043725,0.9973587927665611,0.9985085813202161,0.9961214488313159
images40_jpg.rf.cd2b16b8976cb628302f13fe3b7b2448.jpg_flipv,Comminuted fracture,23.427986637720153,27.199987745144977,15.363973061399218,39.94255536705206,0.567300525816178,0.5262088019621743,0.5930772013648935,0.5046662795020588,2.3406731592465753,2.7294166306042027,1.9572796905577299,3.1632384986270736,6.436505198022109,6.590664642236604,6.32452550024354,6.677883458610377,0.009502783562364324,0.009273538695483564,0.010168228816457608,0.008531138376322687,0.09748222177589268,0.09629921440740606,0.10083763591267701,0.09236416175293688,0.9977267600043725,0.9973587927665611,0.9985085813202161,0.9961214488313159
images41_jpg.rf.595431440d5bf43c207f60d10547a123.jpg_original,Comminuted fracture,48.14250168175147,77.8754217393469,46.666302287182,81.65797082578574,0.7895932401347691,0.706690401694897,0.7429895722839368,0.674151559147265,1.7573958842954993,2.9190068971855956,2.048075159001957,3.169385074352504,4.670539222289644,4.9810715967189605,4.83875284402005,5.073867249268762,0.10868492043778329,0.10304427840337352,0.10671430232311484,0.10272148400173566,0.32967396081247197,0.32100510650669334,0.3266715511383182,0.3205019251139307,0.9965142494112043,0.994367027149738,0.9966259656979962,0.9940934199976571
images41_jpg.rf.595431440d5bf43c207f60d10547a123.jpg_rot45,Comminuted fracture,33.74100645181018,38.37401434583969,35.472587451076315,64.98938423183121,0.7704659512296264,0.7059995379911088,0.7432348346449115,0.7649438057206174,1.541176155821918,2.20524201423861,1.708934686888454,1.744888385078182,4.526370729915923,4.755709269032787,4.607964704995422,4.5492739284461825,0.17132592162427954,0.16754272479006146,0.17097383385831372,0.17066070232492786,0.413915355627548,0.40931983190417426,0.4134898231617239,0.41311100484606783,0.99758828171473,0.9972584624317444,0.9974650849751096,0.995356992447972
